text,label,Pattern Category
"Great prices, professional customer services",0,Not Dark Pattern
Carnival Remotes,0,Not Dark Pattern
Hurry! Only 1 left in size M!!,1,Scarcity
Items in your cart are in high demand.,1,Scarcity
 VIP Points! ,0,Not Dark Pattern
Root Touch Up + Brow Filler,0,Not Dark Pattern
Limited stock Only 2 left,1,Scarcity
" Looks like your cart is empty, let's fix that! ",0,Not Dark Pattern
Over 500 left in stock,1,Scarcity
Lasers ,0,Not Dark Pattern
Choose your payment day. View your schedule and select pay now.,0,Not Dark Pattern
Hurry up! 6 people other than you have this product in their cart,1,Social Proof
 E-Gift Cards ,0,Not Dark Pattern
1 LEFT,1,Scarcity
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,1,Social Proof
 Personalised Chocolates ,0,Not Dark Pattern
Shop Dresses by Occasion,0,Not Dark Pattern
I do not want to protect my item,1,Misdirection
Add to Your Gift and We'll Ship it For Free!,1,Misdirection
Wallets ,0,Not Dark Pattern
 Exclusive offers & discounts for club members via email ,0,Not Dark Pattern
Buy with humm.,0,Not Dark Pattern
" Household Cleaning Kitchen Bathroom Eco Laundry General Cleaning Kitchenware Cook & Bakeware Food Storage & Preservation Kitchen Textiles Appliances Kitchen Appliances Household Appliances Bed, Bath & Living ",0,Not Dark Pattern
Synthesis E-MTB Carbon Wheelset,0,Not Dark Pattern
"25,439 people have viewed this item",1,Social Proof
No thanks I definitely measured correctly,1,Misdirection
57 PEOPLE HAVE LOOKED AT THIS TODAY,1,Social Proof
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,1,Social Proof
Women's ApparelCollection ,0,Not Dark Pattern
"Before you check out, can we tempt you?",1,Misdirection
 Women's Sandals ,0,Not Dark Pattern
 Plant-Based Beauty ,0,Not Dark Pattern
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",1,Obstruction
 Frame out of stock in this colour,0,Not Dark Pattern
Hair Care Sets,0,Not Dark Pattern
Limited quantity remaining,1,Scarcity
CareersAbout UsAffiliatesPrivacy SettingsAdvertise with usHelpSite map,0,Not Dark Pattern
"128 sold today! Hurry, only a few left!",1,Scarcity
4 people are looking at this right now.,1,Social Proof
"No thanks, I dont want a discount",1,Misdirection
"Someone from Portland, United States (US) purchased MODALERT recently.",1,Social Proof
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,1,Urgency
2 people are viewing this,1,Social Proof
HURRY! ONLY 1 IN STOCK!,1,Scarcity
Printed ,0,Not Dark Pattern
Patient Transfer Devices,0,Not Dark Pattern
 Summer Casual Printed Loosen Short Sleeve T-Shirt ,0,Not Dark Pattern
 Summer V Neck Solid Color Short Sleeve Waffle T-Shirt ,0,Not Dark Pattern
LAST CHANCE TO ACTIVATE 10% OFF,1,Scarcity
Your order is reserved for 09:45 minutes!,1,Urgency
only 5 left,1,Scarcity
78 Persons looking for this product,1,Social Proof
 Heart Shaped Cake ,0,Not Dark Pattern
227 Bought Already,1,Social Proof
You've made the starting lineup. Be on the look out for an exclusive offer for signing up.,0,Not Dark Pattern
Universal Fit Collapsible Smart Phone Stand,0,Not Dark Pattern
Hurry! Only Limited Items Left,1,Scarcity
現代奴隷法に対する透明性に関する声明 (opens in a new tab),0,Not Dark Pattern
Strong demand! Complete your order before it's too late!,1,Scarcity
Your order is reserved for 09:56 minutes!,1,Urgency
"Sudha rana from Jaipur bought this product, 23 Mins ago.",1,Social Proof
Gift Wrapping Supplies,0,Not Dark Pattern
6 others have already bought this deal today!,1,Social Proof
"""No Worry"" Membership Renewal We will bill your credit card on file at the introductory rate of $2.99 per month for the first year, for membership rewards and discounts. At the end of the introductory period, you'll be billed at the regular monthly rate of $3.99 per month. If you don't want your membership renewed, simply contact us and we will cancel your subscription. You will be refunded for the current month's membership fee, less any membership savings you have received. Exclusive Toll-Free Hotline Number Because we want your calls to get top priority, we have a special number for Value Club members only: 1-800-648-4282. Your call will be handled with the utmost promptness, courtesy and efficiency possible.",1,Obstruction
info@coolhockey.com,0,Not Dark Pattern
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",1,Urgency
 Safe & Secure Checkout ,0,Not Dark Pattern
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",1,Social Proof
"Synne Kristine in Halden, bought Classic Bokksu Subscription (Billed Every 1 Month) (Ships every 1 Months) about 45 minutes ago",1,Social Proof
Wall Mounted Air Conditioners,0,Not Dark Pattern
"803 Claimed! Hurry, only a few left!",1,Scarcity
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",1,Social Proof
Only 2 left!,1,Scarcity
3 PEOPLE VIEWING,1,Social Proof
"No thanks, I’d rather pay full price.",1,Misdirection
Product Feature,0,Not Dark Pattern
Plant-based Protein,0,Not Dark Pattern
Parad Combo Deals ,0,Not Dark Pattern
Last Shape Guide,0,Not Dark Pattern
 Baby & Toddler Toys ,0,Not Dark Pattern
Shipping Insurance Remove Insurance,1,Sneaking
Clocks ,0,Not Dark Pattern
 Cat's Eye Beads ,0,Not Dark Pattern
Shop now. Pay later. Always interest-free,0,Not Dark Pattern
Stay with us in India,0,Not Dark Pattern
No thanks. I don’t want deals.,1,Misdirection
Wyse Thin Client,0,Not Dark Pattern
AdjustableBucketHeadbandsSale Items- View All -,0,Not Dark Pattern
 Every bicycle tells a story ,0,Not Dark Pattern
" This site uses cookies to provide and improve your shopping experience. If you want to benefit from this improved service, please opt-in. ",0,Not Dark Pattern
Add and save!,1,Misdirection
Intercoms & Doorbells,0,Not Dark Pattern
Boys Purple School Uniforms,0,Not Dark Pattern
RECENTLY VIEWED 2 others viewed this in the last few hours,1,Social Proof
2 viewed per hour,1,Social Proof
1 other customers have this item in their shopping cart,1,Social Proof
ONLY A FEW LEFT IN STOCK,1,Scarcity
1day21:04:58,1,Urgency
Fashion Forms,0,Not Dark Pattern
Stock Low : 6 items left.,1,Scarcity
"NO, I'LL PAY FULL PRICE",1,Misdirection
Terrarium Light Canopies,0,Not Dark Pattern
"HURRY, LOW IN STOCK!",1,Scarcity
Only 4 copies left,1,Scarcity
2 LEFT,1,Scarcity
Feedback,0,Not Dark Pattern
2 DAYS 13:06:13,1,Urgency
Receive news and updates on new products,0,Not Dark Pattern
5338 people bought this,1,Social Proof
2 left in stock,1,Scarcity
 dFresh - Fresh Products ,0,Not Dark Pattern
Thanks! -RMO Team,0,Not Dark Pattern
"6,743 people have viewed recently",1,Social Proof
Selling fast!,1,Scarcity
Welcome To Hotter us,0,Not Dark Pattern
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,1,Urgency
" To enable notifications, click 'Allow' when prompted. ",0,Not Dark Pattern
 PHX Mercury ,0,Not Dark Pattern
Easy Release Cleat Kit,0,Not Dark Pattern
111 people have purchased this item,1,Social Proof
Flowers Trivia:,0,Not Dark Pattern
Your order is reserved for 09:58 minutes!,1,Urgency
I've recommended The Keeper of Lost Things to everyone.,0,Not Dark Pattern
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,1,Urgency
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",1,Sneaking
Celebrity Synthetic Wigs,0,Not Dark Pattern
1626 people seeing this product right now,1,Social Proof
"Book picture is for illustrative purposes only, actual binding, cover or edition may vary.",0,Not Dark Pattern
 Glow Gear ,0,Not Dark Pattern
Converse,0,Not Dark Pattern
Stay Connected,0,Not Dark Pattern
Only 1 left in Stock,1,Scarcity
sales@ecklers.net,0,Not Dark Pattern
0 Days 2 Hours 57 Minutes 53 Seconds,1,Urgency
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,1,Social Proof
Only 34 Left!,1,Scarcity
"William in Pago Pago, United States purchased a",1,Social Proof
"No thanks, I don’t like fun and games.",1,Misdirection
"PROTECT YOUR SOFA! Your Humblebum Sofa in Thatch house fabric will look wicked! Why not add Castelan Fabric Protection to cover your new squish machine against wine spillages, messy TV dinners, and other disasters for just just £80?",1,Misdirection
Explore The NRA Universe Of Websites,0,Not Dark Pattern
New In Special Occasion,0,Not Dark Pattern
"› New Year, New Kit Sale",0,Not Dark Pattern
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",1,Urgency
 Title of Review ,0,Not Dark Pattern
We uses cookies (and similar techniques) to provide you with better products and services. Your permission will be confirmed if you continue using this website.Read more,0,Not Dark Pattern
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,1,Urgency
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,1,Urgency
Cellular/Honeycomb Shades,0,Not Dark Pattern
113 people have viewed in the last 24hrs,1,Social Proof
Epilepsy Safe Profile: this profile enables people with epilepsy to safely use the website by eliminating the risk of seizures resulting from flashing or blinking animations and risky color combinations.,0,Not Dark Pattern
"Jamie in Nashville, United States purchased",1,Social Proof
"Denise in Saluda, Virginia bought Terani Couture - 1911E9095 Embroidered Asymmetric Neck Mermaid Gown",1,Social Proof
Don't miss out! We've sold 38 in the last few days.,1,Social Proof
"No, thank you. I prefer to pay the full price",1,Misdirection
"No Thanks, I don't like exclusive deals.",1,Misdirection
Loading interface...,0,Not Dark Pattern
 SAF Warriors ,0,Not Dark Pattern
 Lens Manual Washer ,0,Not Dark Pattern
"No thanks, I'd like 0% off",1,Misdirection
Warm Tips,0,Not Dark Pattern
 Our Carbon Footprint ,0,Not Dark Pattern
 Women's Summer New Clerk Large Size Loose Cotton And Linen Blouse ,0,Not Dark Pattern
Uncheck the box if you prefer not to receive email updates.,1,Misdirection
| Add to Compare,0,Not Dark Pattern
"No Thanks, I Don't Want a Free Gift",1,Misdirection
 World of Sweats ,0,Not Dark Pattern
This item is in high demand.,1,Scarcity
Cargo Trousers,0,Not Dark Pattern
Hair Bundles With Closure,0,Not Dark Pattern
BreakThrough,0,Not Dark Pattern
ONLY 1 LEFT! GET IT NOW!,1,Scarcity
"Our most recent customers are from New Rochelle, Roseville, and Brooksville",1,Social Proof
ShopClose menu,0,Not Dark Pattern
Used Rifles,0,Not Dark Pattern
ONLY 4 LEFT,1,Scarcity
Limited quantity! ,1,Scarcity
DON'T MISS ON THESE AWESOME ITEMS / DON'T MISS ON OUR TABLE DECORATION SYSTEM,1,Misdirection
Hurry! Only 15 left!,1,Scarcity
 Motocross Boots ,0,Not Dark Pattern
 Remove Product? ,0,Not Dark Pattern
 Nursery ,0,Not Dark Pattern
Footwear Accessories,0,Not Dark Pattern
Only a few more left!,1,Scarcity
0011Days:0088Hours:4411Minutes:21125445Seconds,1,Urgency
and future features included!,0,Not Dark Pattern
69 people are viewing this,1,Social Proof
Only 4 items left in stock.,1,Scarcity
Natural Backgrounds,0,Not Dark Pattern
Speed Lace Accessory Kit - Orange,0,Not Dark Pattern
"No Thanks, I Prefer Paying Full Price",1,Misdirection
"Package RecyclingWe do try when possible to reuse packaging from our own suppliers in order to send purchased items to our customers, we ask if the packaging is still in good condition after you've received your goods then please try to use it again or recycle if not possible.",0,Not Dark Pattern
"Ends in 1 Days, 4 Minutes, 44 Seconds",1,Urgency
In Stock - Limited Quantity,1,Scarcity
on Freight,0,Not Dark Pattern
Canvas Wall Art,0,Not Dark Pattern
Only 8 left in stock. Almost Gone!,1,Scarcity
JFN V Neck Lace Cut-Out Basic T-Shirt/Tee,0,Not Dark Pattern
or,0,Not Dark Pattern
 Short Sleeve Dresses ,0,Not Dark Pattern
"Limited time only: FREE SHIPPING on all orders, no minimum required!",1,Urgency
"No thanks, I don't like promotions and exclusive content.",1,Misdirection
 Shop All Lehenga Choli ,0,Not Dark Pattern
Lack Of Color,0,Not Dark Pattern
 Eye Protection,0,Not Dark Pattern
10 Left,1,Scarcity
 REPLACE-WITH-DYANMIC-HOST-ID,0,Not Dark Pattern
TVs,0,Not Dark Pattern
Only 2 left,1,Scarcity
Temporary Tattoos,0,Not Dark Pattern
3Days01:49:51 Left,1,Urgency
Log in / Create an account,0,Not Dark Pattern
Your order is reserved for 07:28 minutes!,1,Urgency
" is full of sorrow and joy that weaves the life stories of its characters, exploring relationships, illness and loss * Manchester Weekly News *",0,Not Dark Pattern
OH SO POPULAR! 21 bought in the last 7 days.,1,Social Proof
"No Thanks, I'll Pay Full Price",1,Misdirection
Card Storage,0,Not Dark Pattern
2 customers recently bought it,1,Social Proof
Only 1 left in stock,1,Scarcity
Horizon Wide Neck Sweatshirt,0,Not Dark Pattern
All Womens Accessories,0,Not Dark Pattern
Only 1 left in stock! Get in quick!,1,Scarcity
Strip Softbox,0,Not Dark Pattern
You left 2 items in your bag Released in: 29 minutes :07 seconds,1,Urgency
Your first payment will be due on the day of your purchase.*,0,Not Dark Pattern
7 people have it in their cart,1,Social Proof
Pre-order 3 left,1,Scarcity
Offer ends in 15hrs 1min 56sec!,1,Urgency
"Hurry, this style is selling fast!",1,Scarcity
 Glows In The Dark ,0,Not Dark Pattern
Towel Rails & Racks,0,Not Dark Pattern
"When you place healing crystals in a symmetrical fashion and activate it with a crystal wand, the pattern is charged to send messages to the universe. A healing crystal grid uses sophisticated symmetry for manifestation.",0,Not Dark Pattern
"Hurry, only 3 left!",1,Scarcity
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,1,Urgency
Quick Release,0,Not Dark Pattern
Blonde/Bleached Hair: All colors look great. Silver won't be prominent on bleached hair though.,0,Not Dark Pattern
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",1,Urgency
Chatting,0,Not Dark Pattern
Specialist Tools,0,Not Dark Pattern
 Menu Search ,0,Not Dark Pattern
 Fashion Bags ,0,Not Dark Pattern
"No thanks, I don't like discounts",1,Misdirection
Going Fast: Limited Quantities Left!,1,Scarcity
 This is a green tea without the bitterness. ,0,Not Dark Pattern
Spring Styles ,0,Not Dark Pattern
Rate & Review ,0,Not Dark Pattern
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",1,Obstruction
Only 498 left,1,Scarcity
Cooper Remotes,0,Not Dark Pattern
Over 38 bought,1,Social Proof
 Mitre Saws ,0,Not Dark Pattern
Christian Dior,0,Not Dark Pattern
Share this product,0,Not Dark Pattern
 Space Heaters & Workshop Heaters ,0,Not Dark Pattern
Hurry! Only a few of these left,1,Scarcity
Only 2 Left!,1,Scarcity
Animals & Action Figures,0,Not Dark Pattern
only 2 left,1,Scarcity
Only 1 Item Left!,1,Scarcity
HAUTELOOK 04:53,1,Urgency
Only 1 item left,1,Scarcity
 WANNA COLLAB? ,0,Not Dark Pattern
 PopTop Refine by Product Type: PopTop ,0,Not Dark Pattern
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,1,Urgency
Earn FanCash on all purchases!,0,Not Dark Pattern
Bob's Outreach ,0,Not Dark Pattern
Cleaning Brushes & Tools,0,Not Dark Pattern
Sunwayfoto,0,Not Dark Pattern
85 have it in their cart,1,Social Proof
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",1,Obstruction
No thanks. I'd rather pay full price.,1,Misdirection
Only 3 pieces in stock!,1,Scarcity
ONLY 3 LEFT IN STOCK.,1,Scarcity
Free Embroidery Patterns,0,Not Dark Pattern
Mixing & Measuring,0,Not Dark Pattern
